scenario,nuplan_category,episode,env_id,steps,crashed,step_of_crash,total_reward,lane_changes,failure_category,primary_category,failure_events,evidence_paths,n_perception,n_prediction,n_planning,n_alignment,n_robustness,n_interaction,n_unknown
lane_change_blocked,lane_change,0,highway-v0,12,True,12,10.25,8,Prediction,Prediction,1,results\evaluation\evidence\lane_change_blocked_ep0000_step0012_prediction.json,0,1,0,0,0,0,0
lane_change_blocked,lane_change,1,highway-v0,40,False,0,37.12,24,,Unknown,0,,0,0,0,0,0,0,0
lane_change_blocked,lane_change,2,highway-v0,40,False,0,37.05,15,,Unknown,0,,0,0,0,0,0,0,0
lane_change_blocked,lane_change,3,highway-v0,40,False,0,36.76,6,,Unknown,0,,0,0,0,0,0,0,0
lane_change_blocked,lane_change,4,highway-v0,40,False,0,36.82,2,,Unknown,0,,0,0,0,0,0,0,0
lane_change_blocked,lane_change,5,highway-v0,40,False,0,36.78,1,,Unknown,0,,0,0,0,0,0,0,0
lane_change_blocked,lane_change,6,highway-v0,40,False,0,36.53,13,,Unknown,0,,0,0,0,0,0,0,0
lane_change_blocked,lane_change,7,highway-v0,40,False,0,36.64,22,,Unknown,0,,0,0,0,0,0,0,0
lane_change_blocked,lane_change,8,highway-v0,40,False,0,36.42,2,,Unknown,0,,0,0,0,0,0,0,0
lane_change_blocked,lane_change,9,highway-v0,40,False,0,36.8,3,,Unknown,0,,0,0,0,0,0,0,0
lane_change_blocked,lane_change,10,highway-v0,40,False,0,36.83,1,,Unknown,0,,0,0,0,0,0,0,0
lane_change_blocked,lane_change,11,highway-v0,40,False,0,36.55,0,,Unknown,0,,0,0,0,0,0,0,0
lane_change_blocked,lane_change,12,highway-v0,40,False,0,36.91,21,,Unknown,0,,0,0,0,0,0,0,0
lane_change_blocked,lane_change,13,highway-v0,40,False,0,36.82,8,,Unknown,0,,0,0,0,0,0,0,0
lane_change_blocked,lane_change,14,highway-v0,40,False,0,36.47,0,,Unknown,0,,0,0,0,0,0,0,0
lane_change_blocked,lane_change,15,highway-v0,40,False,0,37.02,25,,Unknown,0,,0,0,0,0,0,0,0
lane_change_blocked,lane_change,16,highway-v0,40,False,0,36.42,3,,Unknown,0,,0,0,0,0,0,0,0
lane_change_blocked,lane_change,17,highway-v0,40,False,0,36.95,17,,Unknown,0,,0,0,0,0,0,0,0
lane_change_blocked,lane_change,18,highway-v0,40,False,0,36.98,10,,Unknown,0,,0,0,0,0,0,0,0
lane_change_blocked,lane_change,19,highway-v0,40,False,0,36.63,25,,Unknown,0,,0,0,0,0,0,0,0
lane_change_blocked,lane_change,20,highway-v0,40,False,0,37.13,17,,Unknown,0,,0,0,0,0,0,0,0
lane_change_blocked,lane_change,21,highway-v0,40,False,0,36.44,19,,Unknown,0,,0,0,0,0,0,0,0
lane_change_blocked,lane_change,22,highway-v0,40,False,0,36.91,15,,Unknown,0,,0,0,0,0,0,0,0
lane_change_blocked,lane_change,23,highway-v0,40,False,0,36.41,25,,Unknown,0,,0,0,0,0,0,0,0
lane_change_blocked,lane_change,24,highway-v0,40,False,0,36.88,1,,Unknown,0,,0,0,0,0,0,0,0
lane_change_blocked,lane_change,25,highway-v0,40,False,0,37.12,5,,Unknown,0,,0,0,0,0,0,0,0
lane_change_blocked,lane_change,26,highway-v0,40,False,0,37.03,20,,Unknown,0,,0,0,0,0,0,0,0
lane_change_blocked,lane_change,27,highway-v0,26,True,26,22.74,0,Interaction,Interaction,1,results\evaluation\evidence\lane_change_blocked_ep0027_step0026_interaction.json,0,0,0,0,0,1,0
lane_change_blocked,lane_change,28,highway-v0,40,False,0,36.39,7,,Unknown,0,,0,0,0,0,0,0,0
lane_change_blocked,lane_change,29,highway-v0,40,False,0,37.09,7,,Unknown,0,,0,0,0,0,0,0,0
